ID,state
0,<nil>
1,<nil>
2,<nil>
3,<nil>
4,<nil>
5,<nil>
6,<nil>
7,<nil>
8,<nil>
9,<nil>
10,<nil>
11,<nil>
12,<nil>
13,<nil>
14,<nil>
15,<nil>
16,<nil>
17,<nil>
18,Virus_inside -- Virus_replication -- Chemokin_secretion
2461,<nil>
20,Virus_inside -- Virus_replication -- Chemokin_secretion
5669,Phagocytosis -- Apoptotic_cell
2160,Virus_inside
23,Virus_inside -- Virus_replication -- Chemokin_secretion
24,Virus_inside -- Virus_replication -- Chemokin_secretion
25,Virus_inside -- Virus_replication -- Chemokin_secretion
5229,Active
27,Virus_inside -- Virus_replication -- Chemokin_secretion
5460,Active
4980,Active
5476,Active
5652,Phagocytosis -- Apoptotic_cell
2161,Virus_inside -- Virus_replication -- Chemokin_secretion
33,Virus_inside -- Virus_replication -- Chemokin_secretion
2117,Virus_inside -- Virus_replication -- Chemokin_secretion
35,Virus_inside -- Virus_replication -- Chemokin_secretion
5034,Active
5185,Phagocytosis -- Apoptotic_cell -- Active
2313,Virus_inside -- Virus_replication -- Chemokin_secretion
39,Virus_inside -- Virus_replication -- Chemokin_secretion
40,<nil>
41,Virus_inside -- Virus_replication
42,Virus_inside -- Virus_replication -- Chemokin_secretion
43,<nil>
5706,Active
45,<nil>
46,<nil>
47,<nil>
48,<nil>
49,<nil>
50,<nil>
51,<nil>
52,<nil>
53,<nil>
54,<nil>
55,<nil>
56,<nil>
57,<nil>
58,<nil>
59,<nil>
60,<nil>
61,<nil>
62,<nil>
63,<nil>
64,<nil>
65,<nil>
66,<nil>
67,Virus_inside -- Virus_replication -- Chemokin_secretion
68,Virus_inside -- Virus_replication -- Chemokin_secretion
69,Virus_inside -- Virus_replication -- Chemokin_secretion
5196,<nil>
71,Virus_inside -- Virus_replication -- Chemokin_secretion
72,Virus_inside -- Virus_replication -- Chemokin_secretion
73,Virus_inside -- Virus_replication -- Chemokin_secretion
74,Virus_inside -- Virus_replication -- Chemokin_secretion
75,Virus_inside -- Virus_replication -- Chemokin_secretion
2166,Virus_inside -- Virus_replication -- Chemokin_secretion
5381,Apoptotic_cell -- M2_Phenotype -- Active
2675,<nil>
2007,<nil>
80,Virus_inside -- Virus_replication -- Chemokin_secretion
81,Virus_inside -- Virus_replication -- Chemokin_secretion
5392,Active
83,Virus_inside -- Virus_replication -- Chemokin_secretion
2631,<nil>
5637,Active
5115,<nil>
5625,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell
5515,Phagocytosis -- Apoptotic_cell -- Active
5678,<nil>
5397,<nil>
91,Virus_inside -- Virus_replication -- Chemokin_secretion
92,<nil>
93,<nil>
94,<nil>
95,<nil>
96,<nil>
97,<nil>
98,<nil>
99,<nil>
100,<nil>
101,<nil>
102,<nil>
103,<nil>
104,<nil>
105,<nil>
106,<nil>
107,<nil>
108,<nil>
109,<nil>
110,<nil>
111,<nil>
112,<nil>
113,<nil>
114,<nil>
115,<nil>
116,<nil>
117,Virus_inside -- Virus_replication -- Chemokin_secretion
3225,<nil>
119,Virus_inside -- Virus_replication -- Chemokin_secretion
120,Virus_inside -- Virus_replication -- Chemokin_secretion
5680,Active
2412,<nil>
123,Virus_inside -- Virus_replication -- Chemokin_secretion
5599,<nil>
5695,<nil>
126,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
127,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
2165,Virus_inside -- Virus_replication -- Chemokin_secretion
5082,Active
2490,<nil>
5749,<nil>
5626,Active
133,Virus_inside -- Virus_replication -- Chemokin_secretion
4584,Apoptotic_cell -- M2_Phenotype -- Active
5759,<nil>
1957,<nil>
2309,Virus_inside -- Virus_replication -- Chemokin_secretion
138,<nil>
5309,Active
2053,<nil>
141,Virus_inside -- Virus_replication
142,Virus_inside -- Virus_replication -- Chemokin_secretion
143,<nil>
144,<nil>
145,<nil>
146,<nil>
147,<nil>
148,<nil>
149,<nil>
150,<nil>
151,<nil>
152,<nil>
153,<nil>
154,<nil>
155,<nil>
156,<nil>
157,<nil>
158,<nil>
159,<nil>
160,<nil>
161,<nil>
162,<nil>
163,<nil>
164,<nil>
165,Virus_inside -- Virus_replication -- Chemokin_secretion
2154,<nil>
167,Virus_inside -- Virus_replication -- Chemokin_secretion
168,Virus_inside -- Virus_replication -- Chemokin_secretion
5738,<nil>
170,Virus_inside -- Virus_replication -- Chemokin_secretion
171,Virus_inside -- Virus_replication -- Chemokin_secretion
2254,<nil>
173,Virus_inside -- Virus_replication -- Chemokin_secretion
5409,Phagocytosis -- Apoptotic_cell -- Active
175,Virus_inside -- Virus_replication -- Chemokin_secretion -- TCell_attached
2060,<nil>
2204,<nil>
5732,Phagocytosis -- Apoptotic_cell
5311,Active
180,Virus_inside -- Virus_replication -- Chemokin_secretion
181,Virus_inside -- Virus_replication -- Chemokin_secretion
2598,<nil>
5527,Active
2344,Virus_inside -- Virus_replication -- Chemokin_secretion
185,<nil>
4295,Apoptotic_cell -- M2_Phenotype -- Active
187,<nil>
188,Virus_inside -- Virus_replication -- Chemokin_secretion
189,<nil>
190,<nil>
191,<nil>
192,<nil>
193,<nil>
194,<nil>
195,<nil>
196,<nil>
197,<nil>
198,<nil>
199,<nil>
200,<nil>
201,<nil>
202,<nil>
203,<nil>
204,<nil>
205,<nil>
206,<nil>
207,<nil>
208,<nil>
209,<nil>
210,<nil>
211,<nil>
212,Virus_inside -- Virus_replication -- Chemokin_secretion
213,Virus_inside -- Virus_replication
214,<nil>
215,Virus_inside -- Virus_replication -- Chemokin_secretion -- Apoptosis_type_II
2057,<nil>
2773,<nil>
2584,<nil>
5572,Active
2653,<nil>
5445,Active
5730,<nil>
1965,Virus_inside -- Virus_replication -- Chemokin_secretion
2054,<nil>
5747,CD8_Tcell_activation -- Phagocytosis -- Apoptotic_cell
2399,<nil>
2049,Virus_inside -- Virus_replication -- Chemokin_secretion
5474,Active
5123,Phagocytosis -- Apoptotic_cell -- Active
2359,<nil>
2602,<nil>
2438,Virus_inside -- Virus_replication -- Chemokin_secretion
2401,<nil>
2537,<nil>
5405,<nil>
5719,<nil>
237,<nil>
238,<nil>
239,<nil>
240,<nil>
241,<nil>
242,<nil>
243,<nil>
244,<nil>
245,<nil>
246,<nil>
247,<nil>
248,<nil>
249,<nil>
250,<nil>
251,<nil>
252,<nil>
253,<nil>
254,<nil>
255,<nil>
256,<nil>
257,<nil>
258,<nil>
259,<nil>
260,<nil>
261,<nil>
262,<nil>
263,Virus_inside -- Virus_replication -- Chemokin_secretion
4987,Phagocytosis -- Apoptotic_cell -- Active
2219,Virus_inside -- Virus_replication -- Chemokin_secretion
2788,<nil>
5651,Active
2447,<nil>
2250,<nil>
2507,<nil>
2261,<nil>
5407,Active
2775,<nil>
5709,Active
5660,<nil>
5161,Active
5477,CD8_Tcell_activation -- Active
5310,Active
5523,<nil>
5542,<nil>
2365,<nil>
5179,<nil>
2307,<nil>
2237,Virus_inside -- Virus_replication -- Chemokin_secretion
285,<nil>
286,<nil>
287,<nil>
288,<nil>
289,<nil>
290,<nil>
291,<nil>
292,<nil>
293,<nil>
294,<nil>
295,<nil>
296,<nil>
297,<nil>
298,<nil>
299,<nil>
300,<nil>
301,<nil>
302,<nil>
303,<nil>
304,<nil>
305,<nil>
306,<nil>
307,<nil>
308,<nil>
309,<nil>
310,<nil>
311,Virus_inside -- Virus_replication -- Chemokin_secretion
312,Virus_inside -- Virus_replication -- Chemokin_secretion
313,Virus_inside -- Virus_replication -- Chemokin_secretion
5579,Phagocytosis -- Apoptotic_cell
4847,Phagocytosis -- Apoptotic_cell -- Active
4973,Apoptotic_cell -- M2_Phenotype -- Active
5099,Phagocytosis -- Apoptotic_cell -- Active
5245,<nil>
2480,<nil>
5467,<nil>
321,Virus_inside -- Virus_replication -- Chemokin_secretion
5222,Active
5726,Phagocytosis -- Apoptotic_cell -- Active
2061,Virus_inside -- Virus_replication
2949,Phagocytosis -- Apoptotic_cell -- Active
2605,<nil>
2435,<nil>
5641,Active
5568,Active
5571,Phagocytosis -- Apoptotic_cell -- Active
5575,<nil>
2454,<nil>
2545,<nil>
2012,<nil>
335,<nil>
336,<nil>
337,<nil>
338,<nil>
339,<nil>
340,<nil>
341,<nil>
342,<nil>
343,<nil>
344,<nil>
345,<nil>
346,<nil>
347,<nil>
348,<nil>
349,<nil>
350,<nil>
351,<nil>
